,ECC Actual Boiling Point,ECC Predicted Boiling Point
260,560.1500162149965,566.6419300952554
261,378.1499938993155,386.18240152448413
262,356.15000243559473,369.56789499521255
263,394.150004286468,412.20500426754353
264,488.1499877277016,463.37634811967604
265,531.1500042338669,519.057562802732
266,452.44999261826274,432.8981280818581
267,484.1500125132501,505.6719083806872
268,792.1500025346875,749.5917909014224
269,350.4500039834529,346.4699996197968
270,533.1500100959837,529.6781853890419
271,531.7500059925019,529.349670369923
272,434.15001199945806,439.4615281154215
273,593.1500034105778,571.7262458373606
274,532.1500071649252,517.5047287514806
275,454.64999906659125,456.9115975172818
276,440.64999454155566,428.74364346966144
277,411.44998197421427,441.4326182301342
278,401.7499900527298,387.9033266124129
279,541.8499990864098,529.4577393248677
280,511.1499821224808,534.4310653294623
281,513.1499879845976,512.6663794112205
282,478.14999492689964,505.1520821034908
283,503.1499951837956,483.54289134711024
284,568.1500031536817,541.714876382947
285,406.1500029493868,391.41439933508633
286,443.1500018692016,431.1651547658443
287,472.1500138503312,462.3575791606306
288,451.14998880788676,447.8633417156338
289,468.1500021260976,462.63465189680454
290,341.1499949795007,356.23395667947824
291,399.74998419061296,412.3518466110527
292,430.6500017407536,426.94871305346487
293,540.1499941036104,556.3509178215265
294,390.64999402776357,381.8131663741171
295,399.44998331129545,402.98193962931634
296,480.1500007890164,473.2697323568165
297,481.1500037200749,466.43437095656986
298,423.65001773312684,421.86706252545116
299,412.249984319061,411.7705743706226
300,482.15000665113325,484.23153885662555
301,553.1499956975877,538.5678792071343
302,410.5500158460438,417.0192571516335
303,489.64999212428927,481.56417068794366
304,375.6500048265606,394.413203305453
305,334.1499927169829,336.20719115272163
306,428.1499944131076,413.23885176658627
307,607.1500079356133,596.3959786055982
308,450.1499858768284,432.9057221165299
309,353.7499954010546,354.9474614884704
310,225.55000299207865,260.9075180907547
311,482.65000811666243,458.0250363412499
312,481.1500037200749,481.57903016924854
313,570.1500090157986,562.5729148828983
314,571.3500125330686,524.601755759865
315,556.150004490763,527.024727447331
316,476.1499890647828,484.2282164664566
317,527.6499939751625,480.0717968358099
318,498.1500170382857,513.0309660950303
319,375.7500051196664,390.45603581048545
320,509.9999970066547,503.07358020991086
321,534.1500130270421,551.4307865694166
322,386.65000055842097,388.3395089788735
323,573.1500178089738,548.9374605318903
324,323.34999757133426,350.85553638786075
325,320.45000732615586,345.3647572419047
326,491.14999652087687,480.64123990684743
327,330.5500004200637,343.7874798915535
328,361.14999883599575,375.23600215271114
329,458.1500093252957,411.8343569599092
330,510.15001570120455,509.5388054394722
331,538.1499882414937,513.0848545333743
332,486.44998274490234,466.2926764923334
333,361.7500005946308,380.3847028955072
334,466.64999772951006,445.71977939039465
335,530.6500027683377,521.8838580527901
336,427.249991775155,416.2321792696416
337,477.1499919958412,488.158348467797
338,396.15001014858484,393.5083083567023
339,475.14998613372444,478.6859220179915
340,466.64999772951006,473.81164705216884
341,496.1500111761689,471.67925672024484
342,564.6499928949773,520.1905708698928
343,383.6499917652458,371.15493871226903
344,454.14999760106207,458.3590643374622
345,330.65000071316956,330.8569564128667
346,454.14999760106207,445.8591372285783
347,561.1499826362729,523.3559324660897
348,502.14999225273726,529.6213761681317
349,387.6500034894794,394.4606295123696
350,409.150011742562,399.1282956214249
351,422.6500148020684,419.95891527503727
352,472.1500138503312,498.085212175101
353,417.6500001467764,421.32982108220455
354,366.14999523639676,385.0351181325316
355,545.1500087589025,547.6879497501254
356,453.1499946700036,450.6171650482714
357,368.1500010985136,369.3820602044463
358,486.9499842104316,485.5383699962497
359,720.1500105571747,757.2720616784692
360,507.6500083735585,496.06494338393213
361,365.14999230533834,377.97792329639196
362,369.15000402957196,370.9666212563217
363,400.31000773787497,403.4897541882097
364,537.1499853104353,510.9046363869309
365,468.1500021260976,459.78754607096306
366,573.1500178089738,595.4076588048041
367,481.1500037200749,514.9489344768226
368,528.649996906221,516.3051268418133
369,390.64999402776357,393.01597394540903
370,609.1500137977301,620.2265705426037
371,607.1500079356133,666.3305391915142
